Sample,Genotype,Gene,Cq,Average,dCt (Gapdh),Average,ddCt,FC,FC (negative),,,dCt(HPRT),Average,ddCt,FC,FC (negative)
7_6,KO,Plcxd2,19.37,19.41,5.5,,,,,,,0.18,,,,
7_6,KO,Plcxd2,19.45,,,,,,,,,,,,,
6_4,WT,Plcxd2,19.94,20.005,5.755,5.4925,,,,,,0.61,0.43625,,,
6_4,WT,Plcxd2,20.07,,,,,,,,,,,,,
6_6,WT,Plcxd2,20.05,19.945,5.59,,,,,,,0.535,,,,
6_6,WT,Plcxd2,19.84,,,,,,,,,,,,,
7_1,WT,Plcxd2,19.55,19.455,5.03,,,,,,,-0.005,,,,
7_1,WT,Plcxd2,19.36,,,,,,,,,,,,,
7_5,WT,Plcxd2,20.49,20.405,5.595,,,,,,,0.605,,,,
7_5,WT,Plcxd2,20.32,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_1,KO,Podxl2,17.63,17.58,5.215,4.73,0.10625,0.928999677,-1.076426639,,,-0.78,-0.70375,-0.27125,1.206853033,-0.828601306
5_1,KO,Podxl2,17.53,,,,,,,,,,,,,
6_8,KO,Podxl2,18.42,18.25,4.385,,,,,,,-0.76,,,,
6_8,KO,Podxl2,18.08,,,,,,,,,,,,,
7_2,KO,Podxl2,20.04,19.81,4.955,,,,,,,-0.32,,,,
7_2,KO,Podxl2,19.58,,,,,,,,,,,,,
7_6,KO,Podxl2,18.21,18.275,4.365,,,,,,,-0.955,,,,
7_6,KO,Podxl2,18.34,,,,,,,,,,,,,
6_4,WT,Podxl2,19.03,18.845,4.595,4.62375,,,,,,-0.55,-0.4325,,,
6_4,WT,Podxl2,18.66,,,,,,,,,,,,,
6_6,WT,Podxl2,19.09,18.93,4.575,,,,,,,-0.48,,,,
6_6,WT,Podxl2,18.77,,,,,,,,,,,,,
7_1,WT,Podxl2,19.16,18.96,4.535,,,,,,,-0.5,,,,
7_1,WT,Podxl2,18.76,,,,,,,,,,,,,
7_5,WT,Podxl2,19.81,19.6,4.79,,,,,,,-0.2,,,,
7_5,WT,Podxl2,19.39,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_1,KO,Ppp1r9a,21.66,21.605,9.24,8.65875,0.7375,0.599777788,-1.667284151,,,3.245,3.225,0.36,0.77916458,-1.283425898
5_1,KO,Ppp1r9a,21.55,,,,,,,,,,,,,
6_8,KO,Ppp1r9a,22.14,22.165,8.3,,,,,,,3.155,,,,
6_8,KO,Ppp1r9a,22.19,,,,,,,,,,,,,
