Sample,Genotype,Gene,Ct,Average,dCt (Gapdh),Average,ddCt,FC,FC (negative),,,dCt(HPRT),Average,ddCt,FC,FC (negative)
5_1,WT,Sfrs18,24.81,,,,,,,,,,,,,
6_4,WT,Sfrs18,24.21,24.01,16.125,,,,,,,6.335,,,,
6_4,WT,Sfrs18,23.81,,,,,,,,,,,,,
7_1,WT,Sfrs18,24.31,24.425,16.315,,,,,,,6.835,,,,
7_1,WT,Sfrs18,24.54,,,,,,,,,,,,,
7_2,WT,Sfrs18,24.35,24.555,11.86,,,,,,,7.095,,,,
7_2,WT,Sfrs18,24.76,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_3,KO,Spry4,22.15,21.895,12.595,12.17625,0.4075,0.753928701,-1.326385371,,,4.37,4.38125,-0.18875,1.139775747,-0.877365571
5_3,KO,Spry4,21.64,,,,,,,,,,,,,
6_3,KO,Spry4,22.19,22.06,13.3,,,,,,,4.585,,,,
6_3,KO,Spry4,21.93,,,,,,,,,,,,,
7_5,KO,Spry4,22.15,22.14,13.825,,,,,,,4.215,,,,
7_5,KO,Spry4,22.13,,,,,,,,,,,,,
7_7,KO,Spry4,22.03,22.045,8.985,,,,,,,4.355,,,,
7_7,KO,Spry4,22.06,,,,,,,,,,,,,
5_1,WT,Spry4,22.36,22.285,9.305,11.76875,,,,,,4.545,4.57,,,
5_1,WT,Spry4,22.21,,,,,,,,,,,,,
6_4,WT,Spry4,22.11,22.18,14.295,,,,,,,4.505,,,,
6_4,WT,Spry4,22.25,,,,,,,,,,,,,
7_1,WT,Spry4,22.24,22.185,14.075,,,,,,,4.595,,,,
7_1,WT,Spry4,22.13,,,,,,,,,,,,,
7_2,WT,Spry4,21.87,22.095,9.4,,,,,,,4.635,,,,
7_2,WT,Spry4,22.32,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_3,KO,Uba6,20.6,20.6,11.3,11.03,0.44625,0.733948123,-1.362494116,,,3.075,3.235,-0.15,1.109569472,-0.901250463
5_3,KO,Uba6,20.6,,,,,,,,,,,,,
6_3,KO,Uba6,20.47,20.645,11.885,,,,,,,3.17,,,,
6_3,KO,Uba6,20.82,,,,,,,,,,,,,
7_5,KO,Uba6,21.07,21.15,12.835,,,,,,,3.225,,,,
7_5,KO,Uba6,21.23,,,,,,,,,,,,,
7_7,KO,Uba6,21.02,21.16,8.1,,,,,,,3.47,,,,
7_7,KO,Uba6,21.3,,,,,,,,,,,,,
5_1,WT,Uba6,20.88,20.855,7.875,10.58375,,,,,,3.115,3.385,,,
5_1,WT,Uba6,20.83,,,,,,,,,,,,,
6_4,WT,Uba6,20.72,20.95,13.065,,,,,,,3.275,,,,
6_4,WT,Uba6,21.18,,,,,,,,,,,,,
7_1,WT,Uba6,21.19,21.195,13.085,,,,,,,3.605,,,,
7_1,WT,Uba6,21.2,,,,,,,,,,,,,
7_2,WT,Uba6,20.87,21.005,8.31,,,,,,,3.545,,,,
7_2,WT,Uba6,21.14,,,,,,,,,,,,,
